PitchID,DatePitched,ItemID,UnitID,NumberOfUnits,PitchComments,PitchReason
54,2004-06-23 00:00:00,2163,16.0,19,"mixed colors, mildew",Disease
55,2004-07-02 00:00:00,2852,37.0,1,,Other
56,2004-07-02 00:00:00,2435,37.0,8,,Other
57,2004-07-02 00:00:00,2775,37.0,2,,Other
58,2004-07-02 00:00:00,3276,37.0,1,,Other
59,2004-07-02 00:00:00,2429,37.0,1,,Other
60,2004-07-02 00:00:00,3277,37.0,1,,Other
61,2004-07-02 00:00:00,1314,6.0,2,,Overstock
62,2004-07-02 00:00:00,1315,6.0,22,,Overstock
63,2004-07-05 00:00:00,1374,2.0,?,crap,Other
64,2004-07-05 00:00:00,1373,2.0,7,crap,Other
65,2004-07-05 00:00:00,2736,15.0,1,crap,Other
66,2004-07-05 00:00:00,1359,2.0,1,,Other
67,2004-07-05 00:00:00,3209,1.0,1,,Other
68,2004-06-09 00:00:00,603,1.0,63,,Overstock
69,2004-06-09 00:00:00,761,2.0,29,planted in field,Other
70,2004-06-09 00:00:00,3165,6.0,3,,Other
71,2004-06-09 00:00:00,3014,37.0,3,,Other
72,2004-06-09 00:00:00,1620,33.0,5,,Other
73,2004-06-09 00:00:00,1410,6.0,2,,Other
74,2004-06-09 00:00:00,1408,6.0,1,,Other
75,2004-06-09 00:00:00,202,6.0,1,,Other
77,2004-06-22 00:00:00,1482,1.0,9,,Other
78,2004-06-22 00:00:00,1481,1.0,10,,Other
79,2004-07-08 00:00:00,1537,2.0,3.6,,Overstock
80,2004-07-08 00:00:00,1533,2.0,3.6,,Overstock
81,2004-07-08 00:00:00,3292,5.0,1.5,,Overstock
82,2004-07-08 00:00:00,2818,37.0,4,,Overstock
83,2004-07-08 00:00:00,248,37.0,1,,Other
84,2004-07-08 00:00:00,1565,2.0,1,,Overstock
85,2004-07-08 00:00:00,3174,2.0,3.5,bloomed late,Overstock
86,2004-07-08 00:00:00,1478,2.0,4.75,bloomed late,Overstock
87,2004-07-08 00:00:00,2359,18.0,7,,Disease
88,2004-07-08 00:00:00,2181,16.0,3,flopsy daisy,Overstock
89,2004-07-09 00:00:00,2736,2.0,2.5,bloomed late-all pack salvias,Overstock
90,2004-07-09 00:00:00,1311,2.0,1.6,,Disease
91,2004-07-09 00:00:00,1570,2.0,1,,Overstock
92,2004-07-09 00:00:00,322,2.0,1.6,,Overstock
93,2004-07-09 00:00:00,1246,15.0,2.8,,Overstock
94,2004-07-09 00:00:00,3166,5.0,2.2,,Overstock
95,2004-07-09 00:00:00,3209,2.0,3.5,never looked too good,Overstock
96,2004-07-09 00:00:00,2723,2.0,1,n.l.t.g.,Overstock
97,2004-07-09 00:00:00,3173,1.0,5.75,bloomed late,Overstock
98,2004-07-09 00:00:00,2664,5.0,2,,Overstock
99,2004-07-09 00:00:00,128,5.0,0.6,,Overstock
100,2004-07-09 00:00:00,1520,2.0,4,,Overstock
101,2004-07-09 00:00:00,1525,2.0,1,,Overstock
102,2004-07-09 00:00:00,1598,2.0,1,really mixed purples,Overstock
103,2004-07-09 00:00:00,1587,2.0,7.25,also sickly,Overstock
104,2004-07-09 00:00:00,2632,2.0,4.4,also sickly,Overstock
105,2004-07-09 00:00:00,1583,2.0,2,also sickly,Overstock
106,2004-07-09 00:00:00,1581,2.0,1,also sickly,Overstock
107,2004-07-09 00:00:00,1584,2.0,2.5,also sickly,Overstock
108,2004-07-09 00:00:00,1585,2.0,3.5,also sickly,Overstock
109,2004-07-09 00:00:00,1586,2.0,2.6,also sickly,Overstock
110,2004-07-09 00:00:00,1580,2.0,2,also sickly,Overstock
111,2004-07-09 00:00:00,1336,1.0,1.4,,Overstock
112,2004-07-09 00:00:00,1603,1.0,1,,Overstock
113,2004-07-10 00:00:00,2118,5.0,6,,Overstock
114,2004-07-10 00:00:00,2119,5.0,3.3,,Overstock
115,2004-07-10 00:00:00,1269,6.0,0.8,,Overstock
116,2004-07-10 00:00:00,1267,6.0,1.3,,Overstock
117,2004-07-10 00:00:00,2961,5.0,1,,Overstock
118,2004-07-10 00:00:00,3406,5.0,1.2,,Overstock
119,2004-07-10 00:00:00,3217,15.0,1,n.l.t.g.,Overstock
120,2004-07-10 00:00:00,2213,37.0,5,,Overstock
121,2004-07-10 00:00:00,3458,37.0,3,,Overstock
122,2004-07-10 00:00:00,2208,5.0,1,,Overstock
123,2004-07-10 00:00:00,2211,5.0,1,,Overstock
124,2004-07-10 00:00:00,2207,5.0,0.6,,Overstock
126,2004-07-10 00:00:00,2400,5.0,5,,Overstock
127,2004-07-10 00:00:00,3235,5.0,1.5,,Overstock
128,2004-07-10 00:00:00,3570,5.0,1.35,,Overstock
130,2004-07-10 00:00:00,1317,37.0,4,,Overstock
131,2004-07-10 00:00:00,3145,1.0,2.25,,Overstock
132,2004-07-10 00:00:00,1346,1.0,1,,Overstock
133,2004-07-10 00:00:00,3473,5.0,2,,Overstock
134,2004-07-10 00:00:00,2673,15.0,2,n.l.t.g.,Overstock
135,2004-07-10 00:00:00,3474,5.0,1.33,,Overstock
136,2004-07-10 00:00:00,3135,1.0,1.75,,Overstock
137,2004-07-10 00:00:00,1394,1.0,1,,Overstock
138,2004-07-12 00:00:00,2171,16.0,2,powdery mildew,Disease
139,2004-07-13 00:00:00,3277,5.0,1.5,,Overstock
140,2004-07-13 00:00:00,2869,5.0,3,,Overstock
141,2004-07-13 00:00:00,2406,5.0,8.4,,Overstock
142,2004-07-13 00:00:00,2135,5.0,10,whoa cowboy!,Overstock
143,2004-07-13 00:00:00,2339,5.0,2.3,,Overstock
144,2004-07-13 00:00:00,2771,5.0,0.2,n.l.t.g.,Overstock
145,2004-07-13 00:00:00,2339,5.0,0.2,,Overstock
146,2004-07-13 00:00:00,1251,5.0,0.66,,Overstock
147,2004-07-13 00:00:00,1499,2.0,2.5,really mixed packs,Overstock
148,2004-07-13 00:00:00,2726,1.0,2,,Overstock
149,2004-07-13 00:00:00,2727,1.0,2,,Overstock
150,2004-07-13 00:00:00,1504,15.0,1,,Overstock
151,2004-07-13 00:00:00,1503,15.0,1,,Overstock
152,2004-07-13 00:00:00,3163,15.0,1,,Overstock
153,2004-07-13 00:00:00,1250,15.0,1,,Overstock
154,2004-07-13 00:00:00,1549,2.0,4,"variety? ""pink""",Overstock
155,2004-07-13 00:00:00,2169,16.0,1,powdery mildew,Disease
157,2004-07-19 00:00:00,2290,5.0,2.33,,Overstock
158,2004-07-19 00:00:00,1533,2.0,0.75,,Overstock
159,2004-07-19 00:00:00,3606,5.0,0.8,bloomed late,Overstock
160,2004-07-19 00:00:00,2963,5.0,1,,Overstock
161,2004-07-19 00:00:00,2322,5.0,0.66,,Overstock
162,2004-07-19 00:00:00,3533,5.0,2,,Overstock
163,2004-07-19 00:00:00,3055,5.0,0.2,,Overstock
164,2004-07-19 00:00:00,299,5.0,0.2,,Overstock
165,2004-07-19 00:00:00,3093,0.0,2,,Overstock
166,2004-07-19 00:00:00,3477,5.0,0.2,,Overstock
167,2004-07-19 00:00:00,152,5.0,0.33,,Overstock
168,2004-07-19 00:00:00,2961,5.0,0.2,,Overstock
169,2004-07-19 00:00:00,3077,0.0,2,,Overstock
170,2004-07-19 00:00:00,1493,15.0,0.4,,Overstock
171,2004-07-19 00:00:00,2118,5.0,0.2,,Overstock
172,2004-07-19 00:00:00,11,5.0,0.33,,Overstock
173,2004-07-19 00:00:00,1492,15.0,0.3,,Overstock
174,2004-07-19 00:00:00,2852,5.0,0.3,,Overstock
175,2004-07-19 00:00:00,3277,5.0,0.4,,Overstock
176,2004-07-19 00:00:00,3279,5.0,1/15,,Overstock
177,2004-07-19 00:00:00,3471,5.0,1/15,,Overstock
178,2004-07-19 00:00:00,2431,5.0,1/15,,Overstock
179,2004-07-19 00:00:00,2406,5.0,1/15,,Overstock
180,2004-07-19 00:00:00,3467,5.0,1/15,,Overstock
181,2004-07-19 00:00:00,2135,5.0,2/15,,Overstock
182,2004-07-19 00:00:00,2167,5.0,0.33,,Overstock
183,2004-07-19 00:00:00,3482,5.0,1/15,,Overstock
184,2004-07-19 00:00:00,2245,5.0,4/15,,Overstock
185,2004-07-19 00:00:00,2229,5.0,6/15,,Overstock
186,2004-07-19 00:00:00,3341,5.0,2/15,,Overstock
187,2004-07-19 00:00:00,3353,5.0,2/15,,Overstock
188,2004-07-19 00:00:00,2658,5.0,8/15,,Overstock
189,2004-07-19 00:00:00,1479,1.0,0.5,,Overstock
190,2004-07-19 00:00:00,150,5.0,0.2,,Overstock
191,2004-07-19 00:00:00,1695,2.0,0.25,,Overstock
192,2004-07-10 00:00:00,151,5.0,4,,Overstock
193,2004-07-10 00:00:00,3470,5.0,1/15,,Overstock
194,2004-07-10 00:00:00,3341,5.0,1/15,,Overstock
195,2004-07-10 00:00:00,152,5.0,0.33,,Overstock
196,2004-07-10 00:00:00,2209,5.0,18/15,,Overstock
197,2004-07-10 00:00:00,2256,37.0,1,,Overstock
198,2004-07-10 00:00:00,2665,6.0,0.33,,Overstock
199,2004-07-10 00:00:00,3075,5.0,2/15,,Overstock
200,2004-07-10 00:00:00,3066,5.0,0.33,,Overstock
201,2004-07-10 00:00:00,1366,2.0,3/8,,Overstock
202,2004-07-10 00:00:00,146,5.0,1/15,,Overstock
203,2004-07-10 00:00:00,148,5.0,1/15,,Overstock
204,2004-07-10 00:00:00,158,5.0,1/15,,Overstock
205,2004-07-10 00:00:00,1574,1.0,1/8,,Overstock
206,2004-07-19 00:00:00,1207,5.0,2/15,,Overstock
207,2004-07-19 00:00:00,2614,1.0,0.25,,Overstock
208,2004-07-19 00:00:00,3481,5.0,2/15,,Overstock
209,2004-07-19 00:00:00,1194,5.0,2/15,,Overstock
210,2004-07-19 00:00:00,3337,5.0,2/15,,Overstock
211,2004-07-19 00:00:00,3624,35.0,2/15,,Overstock
212,2004-07-19 00:00:00,3174,2.0,0.25,,Overstock
213,2004-07-19 00:00:00,3328,5.0,0.33,,Overstock
214,2004-07-19 00:00:00,1403,2.0,1/8,,Overstock
215,2004-07-19 00:00:00,2230,5.0,1/15,,Overstock
216,2004-07-19 00:00:00,2235,5.0,1/15,,Overstock
217,2004-07-19 00:00:00,2864,5.0,1/15,,Overstock
218,2004-07-19 00:00:00,2232,5.0,1/15,,Overstock
219,2004-07-19 00:00:00,1504,15.0,1/8,notation maybe off with all these,Overstock
220,2004-07-19 00:00:00,1325,15.0,0.1,,
221,2004-07-19 00:00:00,2294,5.0,1/15,,
222,2004-07-19 00:00:00,2238,5.0,1/15,,
223,2004-07-19 00:00:00,2385,5.0,1/15,,
224,2004-07-20 00:00:00,2646,19.0,25,wintered and rewintered and divided etc,
225,2004-07-20 00:00:00,2135,5.0,0.8,bumped to hangers,Overstock
226,2004-07-20 00:00:00,3084,5.0,2.2,mixed pooh varieties bumped to hangers,Overstock
227,2004-07-21 00:00:00,3440,0.0,,wits end-spider mites,Disease
228,2004-07-29 00:00:00,128,5.0,6/15,,Overstock
229,2004-07-29 00:00:00,2664,5.0,0.8,,Overstock
230,2004-07-29 00:00:00,1194,5.0,7/15,,Overstock
231,2004-07-29 00:00:00,3247,5.0,9/15,,Overstock
232,2004-07-29 00:00:00,1269,6.0,4/7,,Disease
233,2004-07-29 00:00:00,1267,6.0,0.5,,Disease
234,2004-07-29 00:00:00,1265,6.0,0.3,,Disease
235,2004-07-29 00:00:00,1381,19.0,2,,Disease
236,2004-07-31 00:00:00,205,15.0,1,bloomed late never,Overstock
237,2004-07-31 00:00:00,1627,1.0,3.8,bloomed late,Overstock
238,2004-07-31 00:00:00,1659,15.0,3/5,,Overstock
239,2004-07-31 00:00:00,2716,15.0,3/5,,Overstock
240,2004-07-31 00:00:00,1671,15.0,0.3,,Overstock
241,2004-07-31 00:00:00,1389,19.0,1,,
242,2004-07-31 00:00:00,942,19.0,2,aphids,Disease
243,2004-07-31 00:00:00,836,19.0,3,too much water,
244,2004-07-31 00:00:00,2598,19.0,2,,
245,2004-07-31 00:00:00,855,19.0,1,,
246,2004-07-31 00:00:00,3135,19.0,3,,
247,2004-07-31 00:00:00,939,19.0,1,,
248,2004-07-31 00:00:00,2580,19.0,2,,
249,2004-08-01 00:00:00,2319,18.0,9,mixed,Overstock
250,2004-08-01 00:00:00,1414,6.0,2,mixed-watering issues too,Overstock
251,2004-08-05 00:00:00,2135,5.0,5,whoa cowboy,Overstock
252,2004-08-05 00:00:00,3291,5.0,1.3,,Overstock
253,2004-08-05 00:00:00,2174,5.0,0.66,,Overstock
254,2004-08-05 00:00:00,2118,5.0,1,,Overstock
255,2004-08-05 00:00:00,1414,6.0,9/14,sick too,Overstock
256,2004-08-05 00:00:00,248,5.0,11/15,,Overstock
257,2004-08-05 00:00:00,2359,5.0,0.33,,Overstock
258,2004-08-05 00:00:00,247,5.0,0.5,,Overstock
259,2004-08-05 00:00:00,3055,5.0,0.66,,Overstock
260,2004-08-05 00:00:00,2291,5.0,5,,Overstock
261,2004-08-05 00:00:00,2290,5.0,2,,Overstock
262,2004-08-05 00:00:00,182,5.0,0.33,,Overstock
263,2004-08-05 00:00:00,3216,15.0,0.4,,Overstock
264,2004-08-05 00:00:00,1490,15.0,1,,Overstock
265,2004-08-05 00:00:00,1494,15.0,1,,Overstock
266,2004-08-05 00:00:00,1493,15.0,0.8,,Overstock
267,2004-08-05 00:00:00,1331,5.0,2/15,n.l.t.g.,Overstock
268,2004-08-05 00:00:00,2963,5.0,1/15,,Overstock
269,2004-08-05 00:00:00,1332,15.0,2,mixed,Overstock
270,2004-08-05 00:00:00,2319,18.0,2,,Overstock
271,2004-08-05 00:00:00,2948,5.0,1.5,ugly,Overstock
272,2004-08-05 00:00:00,211,5.0,0.5,,Overstock
273,2004-08-05 00:00:00,2335,5.0,2/15,,Overstock
274,2004-08-05 00:00:00,3012,5.0,1/15,,
275,2004-08-05 00:00:00,3087,5.0,1/15,,
276,2004-08-05 00:00:00,2939,5.0,1/15,came late,Overstock
277,2004-08-05 00:00:00,3331,5.0,2,,Overstock
278,2004-08-05 00:00:00,1325,15.0,1,,Overstock
279,2004-08-05 00:00:00,146,5.0,0.66,,Overstock
280,2004-08-05 00:00:00,3406,5.0,1,,Overstock
281,2004-08-05 00:00:00,2207,5.0,0.5,,Overstock
282,2004-08-07 00:00:00,2213,5.0,4/15,,Overstock
283,2004-08-07 00:00:00,145,5.0,0.33,,Overstock
284,2004-08-07 00:00:00,152,5.0,0.33,,Overstock
285,2004-08-07 00:00:00,2208,5.0,0.5,,Overstock
286,2004-08-07 00:00:00,3086,1.0,1/4,,Overstock
287,2004-08-07 00:00:00,3628,5.0,2,,Overstock
288,2004-08-05 00:00:00,89,5.0,3,little guy-do not repeat,Overstock
289,2004-08-05 00:00:00,89,5.0,1,"pooh-tags please, otherwise, we look dumb",
290,2004-08-05 00:00:00,1284,19.0,17,,Disease
291,2004-08-05 00:00:00,1386,19.0,8,,Disease
292,2004-08-05 00:00:00,2872,33.0,1.5,mixed really,Disease
293,2004-08-05 00:00:00,3193,19.0,14,"strong resemblance to common weed, beetle infestation",Overstock
294,2004-05-17 00:00:00,1381,19.0,1,,Disease
295,2004-05-17 00:00:00,1315,6.0,5/28,t.m.w.,
296,2004-05-17 00:00:00,2167,5.0,1/15,,
297,2004-05-17 00:00:00,2176,5.0,1/15,,
298,2004-05-17 00:00:00,1414,6.0,17/28,t.m.w.,
299,2004-05-17 00:00:00,299,5.0,2/15,,
300,2004-05-17 00:00:00,2330,5.0,1/15,,
301,2004-05-17 00:00:00,2217,5.0,1/15,,
302,2004-05-17 00:00:00,331,5.0,1/15,,
303,2004-05-17 00:00:00,3459,5.0,1/15,,
304,2004-05-17 00:00:00,146,5.0,1/15,,
305,2004-05-17 00:00:00,2351,5.0,1/15,,
306,2004-06-10 00:00:00,1249,33.0,5/18,,
307,2004-06-10 00:00:00,2995,33.0,1/18,,Disease
308,2004-06-10 00:00:00,1468,33.0,1/18,,Disease
309,2004-06-10 00:00:00,1452,33.0,1/18,,
310,2004-06-10 00:00:00,1466,33.0,10/18,,Disease
311,2004-06-10 00:00:00,1469,33.0,4/18,,Disease
312,2004-06-10 00:00:00,2878,5.0,1/18,,Disease
313,2004-06-01 00:00:00,1331,5.0,1/15,,
314,2004-06-01 00:00:00,3014,5.0,2/15,,
315,2004-06-01 00:00:00,1410,6.0,5/28,,
316,2004-06-01 00:00:00,3165,6.0,2/28,,
317,2004-06-01 00:00:00,3164,6.0,2/28,,
318,2004-06-01 00:00:00,3169,5.0,1/15,,
319,2004-06-01 00:00:00,1414,6.0,2/28,t.m.w.,
320,2004-06-01 00:00:00,2658,5.0,1/15,,
321,2004-06-06 00:00:00,2871,5.0,1/15,,
322,2004-06-06 00:00:00,1377,5.0,1/15,,
323,2004-06-06 00:00:00,3344,5.0,1/15,,
324,2004-06-06 00:00:00,1378,5.0,1/15,,
325,2004-06-06 00:00:00,2933,5.0,2/15,,
326,2004-06-06 00:00:00,3164,6.0,1/28,,
327,2004-06-07 00:00:00,768,6.0,1/28,,
328,2004-06-07 00:00:00,736,6.0,1/28,,
329,2004-06-07 00:00:00,753,2.0,1/8,,
330,2004-06-07 00:00:00,675,2.0,1/8,,
331,2004-06-07 00:00:00,747,2.0,1/8,,
332,2004-06-07 00:00:00,668,2.0,3/8,,
333,2004-06-25 00:00:00,2392,6.0,2/28,,
334,2004-06-25 00:00:00,2395,6.0,3/28,,
335,2004-06-21 00:00:00,798,19.0,1,tmw,
336,2004-06-21 00:00:00,797,19.0,1,tmw,
337,2004-06-21 00:00:00,3254,19.0,1,tmw,
338,2004-06-21 00:00:00,1562,19.0,1,,
339,2004-06-21 00:00:00,2521,19.0,1,,
340,2004-06-21 00:00:00,1392,19.0,1,,
341,2004-06-21 00:00:00,957,19.0,1,tmw,
342,2004-06-21 00:00:00,819,19.0,1,tmw,
343,2004-06-25 00:00:00,2580,19.0,1,,
344,2004-06-25 00:00:00,803,19.0,1,,
345,2004-06-25 00:00:00,819,19.0,1,,
346,2004-06-25 00:00:00,3254,19.0,1,,
347,2004-06-25 00:00:00,986,19.0,1,,
348,2004-06-25 00:00:00,1617,19.0,2,,
349,2004-06-25 00:00:00,998,19.0,1,,
350,2004-06-25 00:00:00,958,19.0,4,,
351,2004-06-25 00:00:00,2528,19.0,1,,
352,2004-06-25 00:00:00,3262,19.0,3,,
353,2004-06-25 00:00:00,3529,19.0,1,,
354,2004-06-25 00:00:00,2735,19.0,1,,
355,2004-06-25 00:00:00,3188,19.0,1,,
356,2004-06-25 00:00:00,1015,19.0,2,,
357,2004-06-25 00:00:00,3225,19.0,1,,
358,2004-06-25 00:00:00,3135,19.0,1,,
359,2004-06-25 00:00:00,3182,19.0,1,,
360,2004-06-25 00:00:00,2673,19.0,1,,
361,2004-06-25 00:00:00,897,19.0,1,,
362,2004-07-03 00:00:00,1235,1.0,2/8,,
363,2004-05-25 00:00:00,146,5.0,1/15,,
364,2004-05-25 00:00:00,2406,5.0,1/15,,
365,2004-05-25 00:00:00,2771,5.0,1/15,,
366,2004-05-25 00:00:00,40,5.0,1/15,,
367,2004-05-25 00:00:00,3475,5.0,1/15,,
368,2004-05-25 00:00:00,2217,5.0,2/15,,
369,2004-05-25 00:00:00,3481,5.0,3/15,,
370,2004-06-04 00:00:00,2176,5.0,2/15,,
371,2004-06-04 00:00:00,220,1.0,1/8,,
372,2004-06-04 00:00:00,2977,5.0,2/15,,
373,2004-06-04 00:00:00,2339,5.0,2/15,,
374,2004-06-04 00:00:00,2869,5.0,1/15,,
375,2004-06-04 00:00:00,2167,5.0,1/15,,
376,2004-06-04 00:00:00,2804,5.0,1/15,,
377,2004-06-04 00:00:00,2231,5.0,1/15,,
378,2004-05-27 00:00:00,673,6.0,1/28,,
379,2004-05-27 00:00:00,749,2.0,2/8,,
380,2004-05-27 00:00:00,727,6.0,1/28,,
381,2004-05-27 00:00:00,746,1.0,1/8,,
382,2004-05-27 00:00:00,687,2.0,1/8,,
383,2004-05-27 00:00:00,37,5.0,2/15,,
384,2004-05-01 00:00:00,2351,5.0,1/15,,
385,2004-05-01 00:00:00,2398,6.0,6/28,,
386,2004-05-01 00:00:00,2181,5.0,1/15,,
387,2004-05-01 00:00:00,2397,5.0,4/28,,
388,2004-05-01 00:00:00,2933,6.0,1/28,,
389,2004-05-01 00:00:00,2413,6.0,9/28,"tmw-still, order more",
390,2004-05-01 00:00:00,3308,5.0,1/15,,
391,2004-05-01 00:00:00,1506,5.0,1/15,,
392,2004-05-31 00:00:00,1269,6.0,1/28,,
393,2004-05-31 00:00:00,1265,6.0,12/28,?,
394,2004-05-20 00:00:00,1138,19.0,1,,
395,2004-05-20 00:00:00,3261,19.0,1,,
396,2004-05-20 00:00:00,1024,19.0,1,,
397,2004-05-20 00:00:00,1092,19.0,1,,
398,2004-05-20 00:00:00,929,19.0,1,,
399,2004-05-20 00:00:00,1038,19.0,2,,
400,2004-05-20 00:00:00,1067,19.0,1,,
401,2004-05-18 00:00:00,2393,6.0,1/28,,
402,2004-05-18 00:00:00,2339,5.0,1/15,,
403,2004-05-18 00:00:00,2771,5.0,1/15,,
404,2004-05-18 00:00:00,2167,5.0,1/15,,
405,2004-05-18 00:00:00,3534,5.0,1/15,,
406,2004-05-18 00:00:00,2821,5.0,2/15,,
407,2004-06-09 00:00:00,668,6.0,6/28,,
408,2004-06-09 00:00:00,670,6.0,1/x,,
409,2004-06-09 00:00:00,672,6.0,5/x,,
410,2004-06-09 00:00:00,669,6.0,2/x,,
411,2004-06-09 00:00:00,671,6.0,2/x,,
412,2004-06-13 00:00:00,2415,5.0,1/15,,
413,2004-06-13 00:00:00,1408,5.0,1/28,,
414,2004-06-13 00:00:00,1415,6.0,1/28,,
415,2004-06-13 00:00:00,1331,5.0,1/15,,
416,2004-06-13 00:00:00,2202,5.0,1/15,,
417,2004-06-13 00:00:00,1414,6.0,3/28,,
418,2004-05-24 00:00:00,3534,5.0,2/15,,
422,2004-05-24 00:00:00,2771,5.0,1/15,,
423,2004-05-24 00:00:00,1005,19.0,1,,
424,2004-05-24 00:00:00,299,5.0,3/15,,
425,2004-05-24 00:00:00,2804,5.0,1/15,,
426,2004-05-24 00:00:00,1532,1.0,1/8,,
427,2004-05-24 00:00:00,3408,5.0,1/15,,
428,2004-05-24 00:00:00,2339,5.0,1/15,,
429,2004-05-28 00:00:00,2351,5.0,1/15,,
430,2004-05-28 00:00:00,1378,5.0,2/15,,
431,2004-06-06 00:00:00,2586,33.0,3/18,,
432,2004-06-06 00:00:00,858,19.0,1,,
433,2004-06-06 00:00:00,1386,33.0,5/18,,
434,2004-06-06 00:00:00,1387,33.0,1/18,,
435,2004-05-31 00:00:00,2339,5.0,2/15,,
436,2004-05-31 00:00:00,2338,5.0,1/15,,
437,2004-05-31 00:00:00,2133,5.0,1/15,,
438,2004-05-31 00:00:00,3402,2.0,1/8,,
439,2004-05-31 00:00:00,3401,2.0,3/8,,
440,2004-05-31 00:00:00,1595,15.0,2/10,,
441,2004-05-31 00:00:00,1503,15.0,1/10,,
442,2004-05-31 00:00:00,1594,1.0,1/8,,
443,2004-05-31 00:00:00,1695,2.0,1/8,,
444,2004-05-31 00:00:00,2608,5.0,2/15,,
445,2004-06-05 00:00:00,2490,19.0,1,,
446,2004-06-05 00:00:00,1138,19.0,1,,
447,2004-06-05 00:00:00,2543,19.0,1,,
448,2004-06-05 00:00:00,2566,19.0,1,,
449,2004-06-05 00:00:00,2528,19.0,1,,
450,2004-06-05 00:00:00,2562,19.0,2,,
451,2004-06-05 00:00:00,954,19.0,1,,
452,2004-05-31 00:00:00,2607,5.0,1/15,,
453,2004-05-31 00:00:00,3457,5.0,1/15,,
454,2004-05-31 00:00:00,2189,5.0,2/15,,
455,2004-05-29 00:00:00,3480,5.0,1/15,,
456,2004-05-29 00:00:00,2664,5.0,1/15,,
457,2004-05-29 00:00:00,2798,5.0,6/15,,
458,2004-05-29 00:00:00,3087,5.0,1/15,,
459,2004-05-29 00:00:00,3574,5.0,1/15,,
460,2004-05-29 00:00:00,294,5.0,1/15,,
461,2004-06-05 00:00:00,1414,6.0,4/28,,
462,2004-06-05 00:00:00,1415,6.0,1/28,,
463,2004-06-05 00:00:00,1315,6.0,3/28,,
464,2004-05-20 00:00:00,2413,6.0,2/28,,
466,2004-05-20 00:00:00,1410,6.0,3/28,,
467,2004-05-20 00:00:00,3164,6.0,8/28,,
468,2004-05-20 00:00:00,1408,6.0,8/28,,
469,2004-05-20 00:00:00,1414,5.0,4/28,,
470,2004-05-20 00:00:00,3014,6.0,5/28,,
471,2004-05-07 00:00:00,2139,5.0,2/15,,
472,2004-05-07 00:00:00,2415,5.0,1/15,,
