CombinedName,LabelDescription,SunConditions,ItemID,Inactive,Item,Variety,Color,Type,Definition,PictureLayout,PictureLink
Petunia Easy Wave Blue,"Ht. 6-12"" Spread 2' A controlled spreading habit. The plant gracefully cascades from containers, window boxes, and hanging baskets but also makes great edging or ground cover in beds and borders.",part-sun_sun.jpg,8771,FALSE,Petunia,Easy Wave Blue,,Annual,,,
Hibiscus Assortment Mix,,sun.jpg,8772,FALSE,Hibiscus,Assortment,Mix,Annual,,,
Pelargonium sidoides,Even the NIH has good things to say about this plant! It has been shown to acute bronchitis. We grow it because it is entirely lovely beautiful and well behaved. Silver foliage adorned with multitudes of tiny burgundy flowers. Easy to bring in as a houseplant. This plant is a favorite here.,part-sun_sun.jpg,8773,FALSE,Pelargonium sidoides,,,Annual,,,
Eucalyptus globulus Blue Gum,"eucalyptus globulus benefits
It is also known as Blue Gum Eucalyptus Oil. Benefits: It is antiviral, antispasmodic; decongestant, balsamic and parasiticidal. In skin care, it aids in the treatment of cuts, burns and sores.",,8862,FALSE,Eucalyptus globulus,Blue Gum,,Annual,,,
Petunia Dreams Patriot Mix Mix,"As grandifloras with 3 -1/2"" blooms, the Dreams are also noted for their holding ability under hot, humid and rainy conditions. This series continues to be one of the saleable grandiflora series on the market.",sun.jpg,8864,FALSE,Petunia,Dreams Patriot Mix,Mix,Annual,,,
Impatiens Beacon Portland Mix Mix,"Beacon announces two new colours to light up the shade. NEW Blue Pearl and NEW Light Pink have been trialed and approved to grow well and look vibrant in the shade, and they offer high resistance to the widely prevalent populations of Plasmopara destructor, the cause of Impatiens downy mildew. Beacon Impatiens are suitable for packs, pots, hanging baskets and in-ground beds.",shade.jpg,8865,FALSE,Impatiens,Beacon Portland Mix,Mix,Annual,,,
Impatiens Beacon Pearl Island Mix Mix,"Beacon™ is certified to have high resistance to the disease (IDM) that has devastated much of our country’s beloved impatiens in gardens. Beacon’s hard-working, resilient, well-behaved compact plants display the familiar impatiens flowers we love, in cheerful colors to light up beds and borders, and just about any kind of container you can find. Our ‘Paradise Mix’ is a sensational blend of bright red, coral, violet shades and white. Lead the recovery and be the first in your neighborhood to bring back America’s favorite shade flower!",shade.jpg,8866,FALSE,Impatiens,Beacon Pearl Island Mix,Mix,Annual,,,
Streptocarpus Strawberry Ice Red Bicolor,"Streptocarpus is a relative of the African violet commonly known as Cape primrose, but even easier to care for. 'Strawberry Ice' offers stunning, large, bi-coloured, tubular, orchid-like flowers that are white and dramatically veined with deep pink with white reverses. Plants are floriferous and can bloom for up to 10 months a year!",,8867,FALSE,Streptocarpus,Strawberry Ice,Red Bicolor,Annual,,,
Helianthus Soluna Lemon Yellow,"Ht. 4' This Florida native sunflower is a butterfly magnet perfect for use in hot, dry and moderately saline gardens. Also known as ‘cucumberleaf’ sunflower it is native to the United States, where it can be found along the Atlantic and Gulf Coasts. This east coast dune sunflower is fast-growing and highly salt-tolerant plant that thrives in sandy, well-drained soil in full sun.",sun.jpg,8869,FALSE,Helianthus,Soluna Lemon,Yellow,Annual,,,
Dusty Miller Candicans,"Ht. 16-24"" Compared to Silverdust, Candicans is taller, more vigorous, a bit more variable in plant architecture, and its leaves are not as deeply lobed. Otherwise, overall appearance is very similar. Dusty Miller's silvery foliage is a very popular cut-flower foliage for elegant bouquets. 3–7"" long, velvety leaves with a snowflake appearance.",sun.jpg,8870,FALSE,Dusty Miller,Candicans,,Annual,,,
Hibiscus Mahogany Splendor,"Ht. 40"" Deep mahogany-red foliage for cutting and garden accent. Decorative, deeply cut foliage with maple-leaf appearance, rich color, and sturdy branches. Ideal for late summer and fall arrangements. Primarily grown for use as cut flower foliage, the vigorous, drought- and heat-tolerant plants are also suitable for containers and landscaping. The abundant color and tall stature make Mahogany Splendor a lovely backdrop in the garden or patio.",sun.jpg,8871,FALSE,Hibiscus,Mahogany Splendor,,Annual,,,
Zinnia Oklahoma Salmon Salmon,"Ht. 30-40"" Bright salmon color with low susceptibility to powdery mildew. Blooms are 1 1/2–2 1/2"", double and semidouble. These petite, yet sturdy, blooms make excellent, reliable accent flowers for market bouquets, wedding flowers, and event work. Cut-and-come-again flower, yielding multiple cuts over the season.",sun.jpg,8872,FALSE,Zinnia,Oklahoma Salmon,Salmon,Annual,,,
Zinnia Oklahoma Carmine Carmine,"Ht. 30-40"" Bright carmine color with low susceptibility to powdery mildew. Blooms are 1 1/2–2 1/2"", double and semidouble. These petite, yet sturdy, blooms make excellent, reliable accent flowers for market bouquets, wedding flowers, and event work. Cut-and-come-again flower, yielding multiple cuts over the season.",sun.jpg,8873,FALSE,Zinnia,Oklahoma Carmine,Carmine,Annual,,,
Zinnia Oklahoma Pink Pink,"Ht. 30-40"" Nice pink color with low susceptibility to powdery mildew. Blooms are 1 1/2–2 1/2"", double and semidouble. These petite, yet sturdy, blooms make excellent, reliable accent flowers for market bouquets, wedding flowers, and event work. Cut-and-come-again flower, yielding multiple cuts over the season.",sun.jpg,8874,FALSE,Zinnia,Oklahoma Pink,Pink,Annual,,,
Nigella Albion Green Pod White,"Ht. 18-24"" Early blooming and beautiful! Its brilliant ferny leaves and lacy, star-shaped flowers are framed by a delicate halo of fringed foliage. Creamy double flowers have delicate green veining and produce bright green seedpods in abundance.",sun.jpg,8875,FALSE,Nigella,Albion Green Pod,White,Annual,,,
Nigella Albion Black Pod White,"Ht. 18-24"" Early blooming and beautiful! Its brilliant ferny leaves and lacy, star-shaped flowers are framed by a delicate halo of fringed foliage. White flowers have delicate purple veining and produce purple seedpods in abundance.",sun.jpg,8876,FALSE,Nigella,Albion Black Pod,White,Annual,,,
Basil Cinnamon,"Tall, fast-growing plants have distinctive violet stems, veining, and flower bracts with lavender blooms and 2"" long leaves. Beautiful in casual flower bouquets. Ht. 26–30"".",sun.jpg,8878,FALSE,Basil,Cinnamon,,Annual,,,
Lunaria Rosemary Verey Rose,"Ht. 2-3' An heirloom flower with a modern twist, 'Rosemary Verey' is named for a famous 20th-century English gardener and author. The leaves start out spotted with dots that soon cover the foliage with a black sheen. Vibrant dark pink flowers have a sweet scent, and by the end of the season, the harvest of ""silver dollars"" begins, filling vases with sprays of pearly disks.",part-sun_sun.jpg,8880,FALSE,Lunaria,Rosemary Verey,Rose,Annual,,,
Nicotiana alata Mojito Chartreuse,"Ht. 3-4' Like a spritz of lime in seltzer on a hot summer day, 'Mojito' has a cooling presence among the many blazing colors of summer. We love the tall stature and extra-long tubular flowers that flare into large trumpets of bloom in the afternoon and evening when the green blooms entice with a light fragrance.",all_conditions.jpg,8881,FALSE,Nicotiana alata,Mojito,Chartreuse,Annual,,,
Linaria Cordoba,Ht. 1'Clustered violet-pink blooms with brilliant yellow spots beam at the tips of leafless stems like little torches in the early summer garden. It is easy to grow and striking in masses.,sun.jpg,8882,FALSE,Linaria,Cordoba,,Annual,,,
"Asperula orientalis ""Blue Woodruff"" Blue","Ht. 1' An annual relative of sweet woodruff, this freely blooming plant is a treasure. Clusters of tiny trumpets in bright lavender-blue bloom all summer long with little care, the clouds of flowers waving above the whorled leaves creating a softly mounded form. Described in 1935 by Hottes in The Book of Annuals, and uncommon in gardens–Select Seeds hope to change that!",part-sun_sun.jpg,8883,FALSE,Asperula orientalis,"""Blue Woodruff""",Blue,Annual,,,
Celosia Mega Punk Burgundy,"Ht. 2-3' Glowing incandescently under the late afternoon sun of mid-summer and fall, Nan Ondra's 'Mega Punk' wows us with bright rosy red spikes of bloom and spotless red-veined foliage. This wheat celosia is excellent cut for fresh or dry bouquets.",sun.jpg,8884,FALSE,Celosia,Mega Punk,Burgundy,Annual,,,
Larkspur Fancy Blue Purple Blue,"Ht. 3-4' A favorite, but oh so rare, color combo of electric blue and deep violet will stop you in your tracks, beckoning a closer look. Lovely in the early summer garden with Ammi and poppies, it is also a good cut flower that can be dried too! Self-sows.",sun.jpg,8885,FALSE,Larkspur,Fancy Blue Purple,Blue,Annual,,,
Nasturtium Vintage Mix,"Ht. 1' Large flowers of ivory, yellow, striped red and yellow, cherry, auburn, and garnet buoyantly held on strong stems above the classic lily-pad leaves. This new variety is reliably double with a medium trailing habit, ideal for pouring from large baskets and setting garden edges awash with color.",sun.jpg,8886,FALSE,Nasturtium,Vintage,Mix,Annual,,,
Salvia Faye Chapel Red,"Ht. 3' A statuesque beauty from Brazil that is closest to the original form of Salvia splendens. Lipstick-red wands of bloom arch gracefully upward, flowering all summer long. Bring some tropical flair into your garden and pots!",sun.jpg,8887,FALSE,Salvia,Faye Chapel,Red,Annual,,,
Impatiens Sunpatiens Vigorous Purple Purple,"Ht. 18-36""  Flower power in your garden all season long! Plant in full sun to full shade – this one thrives everywhere!

Grower Information:
Thrives in sun or shade conditions. Ideal for cooler (northern) climates. Flourishes in extreme heat and blooms continuously all Summer long.",all_conditions.jpg,8889,FALSE,Impatiens,Sunpatiens Vigorous Purple,Purple,Annual,,,
Pennisetum  Majestic,"Ht. 72"" Long, broad leaves of rich purple-red flow gracefully.",part-sun_sun.jpg,8894,FALSE,Pennisetum,Majestic,,Annual,,,
Setaria italica Limelight,"Ht. 36-60"" The vibrant lime color is enough to make this variety a keeper but it is also fantastically uniform in height, bloom size and bloom time. The stand is lush and self-supporting, remaining upright.",sun.jpg,8895,FALSE,Setaria italica,Limelight,,Annual,,,
Ageratum Aloha Blue,"Ht. 5-8"" Aloha is early to flower and an excellent garden performer. The dainty, soft and feathery flowers attract pollinators. Remove spent blooms to encourage more flowers.",sun.jpg,8896,FALSE,Ageratum,Aloha Blue,,Annual,,,
Zinnia Queen Lime Mix,"Ht. 36"" The Queen Lime Zinnia Mixture is a mix of Queen Lime, Queen Red Lime, Queen Orange Lime and Queen Blush Lime. Very romantic.",sun.jpg,8897,FALSE,Zinnia,Queen Lime,Mix,Annual,,,
Cleome Sparkler Purple,"Ht. 36-44"" Heat-loving annual holds up to summer stress and provides reliable height and structure to landscape beds. Drought tolerant and pollinator friendly!",sun.jpg,8898,FALSE,Cleome,Sparkler Purple,,Annual,,,
Geranium Patriot Evening Glow,"Ht. 8"" Green foliage and continuous, lightly scented salmon flowers. Vigorous plant. Excellent for containers and landscapes. Heat tolerant. Pollinator friendly.",sun.jpg,8820,FALSE,Geranium,Patriot Evening Glow,,Annual,,,
Petunia Crazytunia Citrus Hill,,,8821,FALSE,Petunia,Crazytunia Citrus Hill,,Annual,,,
Canna Cannova Rose,"Ht. 3-4' Rose pink blooms stand out above green, tropical foliage.",sun.jpg,8825,FALSE,Canna,Cannova Rose,,Annual,,,
Canna Cannova Scarlet,Ht. 3-4' Red blooms stand out above green tropical foliage.,sun.jpg,8826,FALSE,Canna,Cannova Scarlet,,Annual,,,
Hibiscus Rico Suave,"A plant known for its vibrant color scheme, long-lasting blooms and outstanding bud and bloom counts; are perfect to add to your landscape as colorful tropical annuals, and also make beautiful container plants to display on your patio or around your pool.",sun.jpg,8827,FALSE,Hibiscus,Rico Suave,,Annual,,,
Dipladenia Sundena Crimson Red,"Ht. 12- 24"" Sundenia® dipladenias offer the large flowers loved in mandevillas but on a compact, manageable plant. Sundenia’s® flowers are 3-5 inches in diameter, double the size of a typical dipladenia, all on glossy green foliage.",sun.jpg,8828,FALSE,Dipladenia,Sundena Crimson,Red,Annual,,,
Gomphrena Qis Purple Purple,"Ht. 18-28"" 1 1/2"" blooms on long stems. We have found the QIS™ (Quality in Seed) Series to be a good choice for cut-flower production for its stem quality, length, and uniformity. Also known as globe amaranth and common globe amaranth.",sun.jpg,8829,FALSE,Gomphrena,Qis Purple,Purple,Annual,,,
Fuchsia Sunshine Salmon,"Ht.24"" Pretty, single blooms of light pink sepals tipped in green over darker rose-pink corollas emerge in summer on shrub-like plants! Great for containers!",part-sun_shade.jpg,8830,FALSE,Fuchsia,Sunshine,Salmon,Annual,,,
Anigozanthus Kanga Burgundy Burgundy,Ht. 1-2'  It has 10 inch long bright green leaves and a well branched inflorescence that reaches to 20 inches tall with dark purple-red flowers from spring-fall. Plant in full sun and water occasionally to regularly spring through fall.,sun.jpg,8831,FALSE,Anigozanthus,Kanga Burgundy,Burgundy,Annual,,,
Arctotis Majec Fuchsia Pink,"COMPACT SILVER FOLIAGE. • EXCELLENT CHOICE FOR LOW WATER USE ANNUAL. Flowes will close at night, but plants flower reliably throughout the season in New England.",sun.jpg,8832,FALSE,Arctotis,Majec Fuchsia,Pink,Annual,,,
Arctotis Majec Red Orange Orange,"OMPACT SILVER FOLIAGE. • EXCELLENT CHOICE FOR LOW WATER USE ANNUAL. Flowes will close at night, but plants flower reliably throughout the season in New England.",sun.jpg,8833,FALSE,Arctotis,Majec Red Orange,Orange,Annual,,,
Plectranthus Guacamole,"Prostrate with a spread between 18-24"" Guacamole has a beautiful blend of yellow and avocado green foliage on deep red stems. Very similar to 'Troys Gold'",all_conditions.jpg,8835,FALSE,Plectranthus,Guacamole,,Annual,,,
Dahlia Babylon Bronze,"This award winner features blooms that contrast against dark foliage. Not top-heavy like other dinner plate varieties, its strong stems and upward-facing flowers make it great for cutting and arranging. This variety is perfect for southern climates.",sun.jpg,8836,FALSE,Dahlia,Babylon Bronze,,Annual,,,
Dahlia Extase Salmon,"Ht. 20"" Large two-toned (salmon / apricot) perfectly shaped flowers. Compact variety, medium green leaves.",sun.jpg,8837,FALSE,Dahlia,Extase,Salmon,Annual,,,
Dahlia Kelvin Floodlight Yellow,"Ht. 3-4' 10–12″ flowers, which are a clear, penetrating pale yellow. It's one of the easiest Dahlia tubers to grow and the ideal choice for your first giant Dahlia.",sun.jpg,8838,FALSE,Dahlia,Kelvin Floodlight,Yellow,Annual,,,
Dahlia Spartacus Burgundy,"Ht. 4-5'  Dahlia connoisseurs adore Spartacus for its colour, vigour and exhibition-size blooms. From midsummer to fall's first frost, it produces a nonstop supply of enormous, velvety-looking, orb-shaped flowers measuring up to a whopping 10"" across. The crimson, fully double blooms are slightly darker in the centre, with petals that flex back toward the stem.",sun.jpg,8839,FALSE,Dahlia,Spartacus,Burgundy,Annual,,,
Lantana Bandana Pink Pink,"Maximum color, maximum coverage. Spreads up to 3 feet maximizing landscape coverage and color. Big and bright blooms put on a non-stop show all summer long. Unparalleled heat and drought tolerance excels in summer landscapes.",sun.jpg,8840,FALSE,Lantana,Bandana Pink,Pink,Annual,,,
Lantana Bandana Red Red,"Maximum color, maximum coverage. Spreads up to 3 feet maximizing landscape coverage and color. Big and bright blooms put on a non-stop show all summer long. Unparalleled heat and drought tolerance excels in summer landscapes.",sun.jpg,8841,FALSE,Lantana,Bandana Red,Red,Annual,,,
Lantana Bandana Mango Mango,"Maximum color, maximum coverage. Spreads up to 3 feet maximizing landscape coverage and color. Big and bright blooms put on a non-stop show all summer long. Unparalleled heat and drought tolerance excels in summer landscapes.",sun.jpg,8842,FALSE,Lantana,Bandana Mango,Mango,Annual,,,
Lantana Lemon Zest Yellow,"Maximum color, maximum coverage. Spreads up to 3 feet maximizing landscape coverage and color. Big and bright blooms put on a non-stop show all summer long. Unparalleled heat and drought tolerance excels in summer landscapes.",sun.jpg,8843,FALSE,Lantana,Lemon Zest,Yellow,Annual,,,
Euphorbia Euphoric White White,The ultimate combo filler. Small white flowers are produced en masse making Euphoric ideal for mixed combinations. Strong vigor fills fast and matches well with other annuals. Loves the heat and thrives all summer long.,all_conditions.jpg,8844,FALSE,Euphorbia,Euphoric White,White,Annual,,,
Plectranthus Lion Blue Purple,"Lion Blue Plectranthus is a bush mound growing plant that consists of dense greenish silver foliage with tall spikes that are decorated with vibrant blueish lavender colored bell-shaped blooms. These beautiful flowers bloom from fall to spring. It thrives in sandy well-draining soil, needs full to partial sun, and requires average watering. At maturity this plant can grow to measure 12 to 18 inches tall and 12 to 16 inches wide.",part-sun_shade.jpg,8845,FALSE,Plectranthus,Lion Blue,Purple,Annual,,,
Salvia Bodacious Rhythm & Blues Blue,"Ht. 3' Salvia 'Rhythm and Blues' is topped with terminal stalks of dark blue-purple flowers from early July spring until frost. We acquired this as a clump former, which our trials show is not the case.",sun.jpg,8846,FALSE,Salvia,Bodacious Rhythm & Blues,Blue,Annual,,,
Salvia Bodacious Smokey Jazz Mauve,"Ht. 3' This exciting new salvia has a tightly rounded habit, and its strong dark-green foliage color. Boysenberry blooms with striking black calyx bloom early and rebloom throughout the season.",,8847,FALSE,Salvia,Bodacious Smokey Jazz,Mauve,Annual,,,
Euphorbia Miners Merlot Chartreuse,"Ht. 18-24"" It has a mounding habit that stays dense even as it grows vigorously, and a long flowering season. It prefers full to dappled sunlight and dry to medium, well-drained soil.
Once established, 'Miner's Merlot' is drought tolerant and is a great choice for rock gardens or low water plantings.",all_conditions.jpg,8848,FALSE,Euphorbia,Miners Merlot,Chartreuse,Annual,,,
Lathyrus odoratus Monster Mix Mix,"A fragrant sweet pea with very large flowers on long stems, which make a lovely cut. Beautiful grown up a small trellis.",sun.jpg,8444,FALSE,Lathyrus odoratus,Monster Mix,Mix,Annual,,,
Anagalis Sky Love Blue,"Ht. 8"" Once known as Italian pimpernel, this Mediterranean native thrives in drier soils once established and produces scads of flowers all summer, a perfect choice to edge gardens or fill containers.",sun.jpg,8445,FALSE,Anagalis,Sky Love,Blue,Annual,,,
Nicotiana mutabalis Bella Pink,Ht. 5-6' Nicotiana mutabalis is one of our favorites! It is lightly fragrant with a wash of airy light pink to white flowers. Great for the back of a border.,part-sun_sun.jpg,8446,FALSE,Nicotiana mutabalis,Bella,Pink,Annual,,,
Celosia Thompson's Superb Feather Mix Mix,"Ht. 12-36"" Mix of red, rose, pink, yellow-green flowers. This heirloom celosia is a brilliant, long-blooming annual that never fails to please. Flowers that are exceptional fresh cut or dried for a wintertime bouquet.",sun.jpg,8447,FALSE,Celosia,Thompson's Superb Feather Mix,Mix,Annual,,,
Cosmos Double Click Bicolor Violet Violet,"Ht. 42–46"" Flower colors range from eggplant-purple with a contrasting bright-white background to soft-and-creamy white with a blush of lavender. Excellent cut flower!",sun.jpg,8448,FALSE,Cosmos,Double Click Bicolor Violet,Violet,Annual,,,
Cosmos Sunset Orange,Ht. 2-3' Lovely dark green foliage adorned with many airy orange flowers. An excellent cut that begins blooming in the summer and continues well into fall.,sun.jpg,8449,FALSE,Cosmos,Sunset Orange,,Annual,,,
Cosmos Xsenia,"Ht. 2' The flowers change with the light! In full sun, the petals appear bright pink and as the light fades in the evening (or on cloudy days) the orange tones wash over it like a glorious sunset. Easy to grow and undemanding, stake early in windy areas and deadhead for continued bloom.",sun.jpg,8450,FALSE,Cosmos,Xsenia,,Annual,,,
Salvia Van Houttei Red,"Ht. 3-4' This tall, gracefully draping plant has sumptuous burgundy tubular flowers blooming in sprays all summer and fall.",sun.jpg,8451,FALSE,Salvia,Van Houttei,Red,Annual,,,
Salvia Skyscraper Orange Orange,"Ht. 2.5' Stunning coral-orange brings brilliance to the garden all summer and fall. also good for naturalizing or well-drained containers, as it has a compact habit. Deadhead to encourage extra blooms and be sure to bring potted plants indoors before first fall frost.",sun.jpg,8452,FALSE,Salvia,Skyscraper Orange,Orange,Annual,,,
Eucomis Freckles Burgundy,"A smaller growing Eucomis only reaching 8"" - 10"". Each strap shaped leaf is generously speckled and spotted with chocolate dots. A wavy leaf margin adds to its uniqueness.",blank.jpg,8453,FALSE,Eucomis,Freckles,Burgundy,Annual,,,
FARFUGIUM Gigantea  Green,"Large almost dinner plate sized, impossibly glossy dark green leaves. Works wonderfully in mass plantings or as a larger textural element.",blank.jpg,8454,FALSE,FARFUGIUM Gigantea,,Green,Annual,,,
Begonia Snow Capped,Mounding habit reaching 1-2' in height. Angel Wing type w/ green foliage having intense silver markings. Rose-red flowers all summer. Part sun.,blank.jpg,8455,FALSE,Begonia,Snow Capped,,Annual,,,
ABELMOSCHUS MANIHOT CHIEF KUBO'S  Yellow,"Growing to a height of 5-8'. Attractive green foliage w/ red petioles. Large 6"" yellow flowers. Full to part sun.",part-sun_sun.jpg,8456,FALSE,ABELMOSCHUS MANIHOT CHIEF KUBO'S,,Yellow,Annual,,,
Musa zebrina Blood Leaf Banana,Ht. 4 - 6 feet in one season. Beautiful wide deep green leaves splashed with burgundy works great in large planters or even in garden beds. Makes a good houseplant or over winter dormant.,sun.jpg,8457,FALSE,Musa zebrina,Blood Leaf Banana,,Annual,,,
Begonia Anna Feile,2 - 3 foot upright growing canes sporting large dark green angel wing leaves with burgundy reverse and large clusters of salmon-pink flowers. Use tall growing angel wing begonias as height elements in mixed containers. They also make good houseplants. Grow in shade to part sun in rich well draining soil and keep evenly moist.,part-sun_shade.jpg,8458,FALSE,Begonia,Anna Feile,,Annual,,,
Begonia Wightii,"An ""Angel Wing"" cane type with elongated leaves of very dark, black -green leaves generously spotted with _"" pure white dots.",shade.jpg,8459,FALSE,Begonia,Wightii,,Annual,,,
Begonia Paul Hernandez White,"Very large rusty / bronze palmate colored foliage with each leaf attaining a width of at least 12"". This remarkable species begonia will reach a height of 3 - 4' in one season. Large panicles of pinkish white blooms throughout the year.",shade.jpg,8460,FALSE,Begonia,Paul Hernandez,White,Annual,,,
PELARGONIUM graveolens Charity,"Lemon scented, 4"" palmately lobed, pale green leaves edged in gold. Will grow into a small shrubby globe shape of about 2' by 2' by summers end. Small white blooms.",sun.jpg,8461,FALSE,PELARGONIUM graveolens,Charity,,Annual,,,
Agave marginata,"Large growing Agave with long gray-green leaves margined with yellow, vicious spines on the tips of the leaves.",sun.jpg,8462,FALSE,Agave marginata,,,Annual,,,
Fuchsia Swanley Yellow Pink,Upright grower 24-30 inches having elegant extremely long 5 - 6 inch single flowers of salmon and light pink. Exceptional!,blank.jpg,8463,FALSE,Fuchsia,Swanley Yellow,Pink,Annual,,,
Phlox Gisele Red Red,"Ht. 10-12"" Nice mounded habit and with lovely heat tolerance. Plus, it features large, attractive flower clusters. Trialed all over North America, Gisele is a top performer across all areas. Great in small pots, baskets and gardens.",sun.jpg,8464,FALSE,Phlox,Gisele Red,Red,Annual,,,
Phlox Gisele Large Violet Violet,"Ht. 10-12"" Nice mounded habit and with lovely heat tolerance. Plus, it features large, attractive flower clusters. Trialed all over North America, Gisele is a top performer across all areas. Great in small pots, baskets and gardens.",sun.jpg,8465,FALSE,Phlox,Gisele Large Violet,Violet,Annual,,,
Phlox Gisele Pink Pink,"Ht. 10-12"" Nice mounded habit and with lovely heat tolerance. Plus, it features large, attractive flower clusters. Trialed all over North America, Gisele is a top performer across all areas. Great in small pots, baskets and gardens.",sun.jpg,8466,FALSE,Phlox,Gisele Pink,Pink,Annual,,,
Phlox Gisele White White,"Ht. 10-12"" Nice mounded habit and with lovely heat tolerance. Plus, it features large, attractive flower clusters. Trialed all over North America, Gisele is a top performer across all areas. Great in small pots, baskets and gardens.",sun.jpg,8467,FALSE,Phlox,Gisele White,White,Annual,,,
Salvia Skyscraper Pink Pink,"Ht. 24""  beautiful pink blooms on tall, sturdy stems that will enliven any patio or garden bed. This prolific bloomer has flower power from late spring until fall. Easy care, durable, waterwise, and tolerates summer heat. Grows as a perennial in mild winter regions; treat as an annual elsewhere.",sun.jpg,8468,FALSE,Salvia,Skyscraper Pink,Pink,Annual,,,
Salvia Skyscraper Orange Orange,"Ht. 24""  beautiful coral orange blooms on tall, sturdy stems that will enliven any patio or garden bed. This prolific bloomer has flower power from late spring until fall. Easy care, durable, waterwise, and tolerates summer heat. Grows as a perennial in mild winter regions; treat as an annual elsewhere.",sun.jpg,8469,FALSE,Salvia,Skyscraper Orange,Orange,Annual,,,
Salvia Skyscraper Dark Purple Purple,"Ht. 24""  beautiful purple blooms on tall, sturdy stems that will enliven any patio or garden bed. This prolific bloomer has flower power from late spring until fall. Easy care, durable, waterwise, and tolerates summer heat. Grows as a perennial in mild winter regions; treat as an annual elsewhere.",sun.jpg,8470,FALSE,Salvia,Skyscraper Dark Purple,Purple,Annual,,,
Petunia Supercal Sunray Pink Lavender Pink,"SuperCal® Premium Sunray Pink Petchoa produces extra-large, pinkish-lavender flowers that will grow where petunias cannot. SuperCal® Premium plants offer an impressive habit that tolerates wind, rain, and the heat, all without missing a beat. They do best in full sun locations with well-drained soils. Petchoa preforms well in beds, baskets, and containers.",sun.jpg,8471,FALSE,Petunia,Supercal Sunray Pink,Lavender Pink,Annual,,,
